effective_date,observed_at,from_ticker,to_ticker,confidence,reason,context_source_url,row_type
1999-11-30,1999-11-30,,,HIGH (dated news source),Exxon-Mobil merger closes (Exxon the acquirer; ticker XON -> XOM); all later XOM #1 spells rest on the merged entity,https://en.wikipedia.org/wiki/ExxonMobil,documented_event:structural
2000-07-01,2000-06-30,MSFT,GE,MEDIUM,GE price +2% vs MSFT -25% over 2000-03-31..2000-06-30,,quarter_transition
2002-07-01,2002-06-30,GE,MSFT,MEDIUM,MSFT price -9% vs GE -22% over 2002-03-31..2002-06-30,,quarter_transition
2002-10-01,2002-09-30,MSFT,GE,MEDIUM,GE price -15% vs MSFT -20% over 2002-06-30..2002-09-30,,quarter_transition
2003-01-01,2002-12-31,GE,MSFT,HIGH,MSFT price +18% vs GE -1% over 2002-09-30..2002-12-31,,quarter_transition
2003-07-01,2003-06-30,MSFT,GE,MEDIUM,GE price +12% vs MSFT +6% over 2003-03-31..2003-06-30,,quarter_transition
2005-02-18,2005-02-18,,,HIGH (dated news source),ExxonMobil closes above GE ($383B vs ~$379B) on rising oil prices,https://www.nbcnews.com/news/amp/wbna6994181,documented_event:close
2005-10-01,2005-09-30,GE,XOM,MEDIUM,XOM price +11% vs GE -3% over 2005-06-30..2005-09-30,,quarter_transition
2006-01-01,2005-12-31,XOM,GE,HIGH,GE price +4% vs XOM -12% over 2005-09-30..2005-12-31,,quarter_transition
2006-04-01,2006-03-31,GE,XOM,MEDIUM,XOM price +8% vs GE -1% over 2005-12-31..2006-03-31,,quarter_transition
2011-08-09,2011-08-09,,,HIGH (dated news source),Apple passes Exxon intraday; Exxon closes ahead ($348B vs $347B); the two trade places repeatedly through 2011-Q3/Q4,https://www.washingtonpost.com/business/economy/apple-overtakes-exxon-mobil-as-most-valuable-company/2011/08/09/gIQACYWq4I_story.html,documented_event:intraday
2011-10-01,2011-09-30,XOM,AAPL,MEDIUM,AAPL price +14% vs XOM -11% over 2011-06-30..2011-09-30; Apple passes Exxon intraday; Exxon closes ahead ($348B vs $347B); the two trade places repeatedly through 2011-Q3/Q4,https://www.washingtonpost.com/business/economy/apple-overtakes-exxon-mobil-as-most-valuable-company/2011/08/09/gIQACYWq4I_story.html,quarter_transition
2012-01-01,2011-12-31,AAPL,XOM,HIGH,XOM price +17% vs AAPL +6% over 2011-09-30..2011-12-31,,quarter_transition
2012-04-01,2012-03-31,XOM,AAPL,HIGH,AAPL price +48% vs XOM +2% over 2011-12-31..2012-03-31,,quarter_transition
2013-07-01,2013-06-30,AAPL,XOM,HIGH,XOM price +0% vs AAPL -10% over 2013-03-31..2013-06-30,,quarter_transition
2013-10-01,2013-09-30,XOM,AAPL,HIGH,AAPL price +20% vs XOM -5% over 2013-06-30..2013-09-30,,quarter_transition
2018-11-30,2018-11-30,,,HIGH (dated news source),Microsoft ends the day ahead of Apple ($851B) after Apple falls on iPhone-demand worries,https://www.cnbc.com/2018/11/30/microsoft-apple-end-trading-market-cap.html,documented_event:close
2019-01-01,2018-12-31,AAPL,MSFT,HIGH,MSFT price -11% vs AAPL -30% over 2018-09-30..2018-12-31; Microsoft ends the day ahead of Apple ($851B) after Apple falls on iPhone-demand worries,https://www.cnbc.com/2018/11/30/microsoft-apple-end-trading-market-cap.html,quarter_transition
2020-01-01,2019-12-31,MSFT,AAPL,HIGH,AAPL price +31% vs MSFT +13% over 2019-09-30..2019-12-31,,quarter_transition
2020-04-01,2020-03-31,AAPL,MSFT,HIGH,MSFT price +0% vs AAPL -13% over 2019-12-31..2020-03-31,,quarter_transition
2020-07-01,2020-06-30,MSFT,AAPL,HIGH,AAPL price +43% vs MSFT +29% over 2020-03-31..2020-06-30,,quarter_transition
2024-04-01,2024-03-31,AAPL,MSFT,HIGH,MSFT price +12% vs AAPL -11% over 2023-12-31..2024-03-31,,quarter_transition
2024-06-18,2024-06-18,,,HIGH (dated news source),"Nvidia closes at ~$3.34T, edging past Microsoft ($3.32T) on AI-chip demand",https://www.cnbc.com/2024/06/18/nvidia-passes-microsoft-in-market-cap-is-most-valuable-public-company.html,documented_event:close
2024-10-01,2024-09-30,MSFT,AAPL,HIGH,AAPL price +11% vs MSFT -4% over 2024-06-30..2024-09-30,,quarter_transition
2025-07-01,2025-06-30,AAPL,NVDA,HIGH,NVDA price +46% vs AAPL -8% over 2025-03-31..2025-06-30,,quarter_transition
