company,ticker,date,shares_millions,basis,derivation,source_url,note,basis_date
Exxon,XOM,1980-11-15,432.7,avg_year,Q4-1980 NI 1350M / EPS 3.12,https://www.washingtonpost.com/archive/business/1981/01/28/exxon-rpofits-rose-318-in-1980/8acbd8de-bced-4575-ba9c-2ac083fa6e4b/,pre-split basis,
Exxon,XOM,1981-07-01,863.8,avg_year,NI 4820M / EPS 5.58,https://www.upi.com/Archives/1983/01/25/Exxon-Corp-the-worlds-largest-oil-company-Tuesday-reported/9921412318800/,post 1981-06-12 split basis,
Exxon,XOM,1982-07-01,867.2,avg_year,NI 4180M / EPS 4.82,https://www.upi.com/Archives/1983/01/25/Exxon-Corp-the-worlds-largest-oil-company-Tuesday-reported/9921412318800/,,
Exxon,XOM,1989-07-01,1281.0,avg_year,NI 3510M / EPS 2.74,https://www.sec.gov/Archives/edgar/data/34088/0000950131-94-000308.txt,Exxon 10-K FY1993 five-year table (post 1987 split),
Exxon,XOM,1990-07-01,1265.2,avg_year,NI 5010M / EPS 3.96,https://www.sec.gov/Archives/edgar/data/34088/0000950131-94-000308.txt,,
Exxon,XOM,1991-07-01,1258.4,avg_year,NI 5600M / EPS 4.45,https://www.sec.gov/Archives/edgar/data/34088/0000950131-94-000308.txt,,
Exxon,XOM,1992-07-01,1258.6,avg_year,NI 4770M / EPS 3.79,https://www.sec.gov/Archives/edgar/data/34088/0000950131-94-000308.txt,,
Exxon,XOM,1993-12-31,1242.0,point,Common shares outstanding at end of year,https://www.sec.gov/Archives/edgar/data/34088/0000950131-94-000308.txt,,
Exxon,XOM,1994-03-31,1241.771,point,10-Q cover,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000034088&type=10-Q&dateb=19970101,,
Exxon,XOM,1995-03-31,1242.233,point,10-Q cover,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000034088&type=10-Q&dateb=19970101,,
Exxon,XOM,1996-03-31,1242.076,point,10-Q cover,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000034088&type=10-Q&dateb=19970101,,
General Electric,GE,1989-07-01,904.223,avg_year,Shares outstanding - average,https://www.sec.gov/Archives/edgar/data/40545/,GE 10-K FY1993 (pre 1994-05-16 2:1 split basis),
General Electric,GE,1990-07-01,887.552,avg_year,Shares outstanding - average,https://www.sec.gov/Archives/edgar/data/40545/,,
General Electric,GE,1991-07-01,868.931,avg_year,Shares outstanding - average,https://www.sec.gov/Archives/edgar/data/40545/,,
General Electric,GE,1992-07-01,857.198,avg_year,Shares outstanding - average,https://www.sec.gov/Archives/edgar/data/40545/,,
General Electric,GE,1993-07-01,853.990,avg_year,Shares outstanding - average,https://www.sec.gov/Archives/edgar/data/40545/,,
General Electric,GE,1994-03-05,853.833,point,10-K cover (pre-split),https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000040545&type=10-K&dateb=19970101,,
General Electric,GE,1994-06-30,1712.367,point,10-Q cover (post-split),https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000040545&type=10-Q&dateb=19970101,,
General Electric,GE,1995-03-31,1693.878,point,10-Q cover,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000040545&type=10-Q&dateb=19970101,,
General Electric,GE,1995-09-30,1670.275,point,10-Q cover,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000040545&type=10-Q&dateb=19970101,,
General Electric,GE,1996-03-31,1659.755,point,10-Q cover,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000040545&type=10-Q&dateb=19970101,,
Wal-Mart,WMT,1987-08-01,2242.9,avg_year,FY1988 (Feb 1987-Jan 1988) NI 628M / EPS 0.28,https://www.sec.gov/Archives/edgar/data/104169/,"WMT 10-K FY1995/FY1996 selected data, restated for all splits through 1996 (basis_date); EPS rounded to cents -> +/-2%",1996-03-31
Wal-Mart,WMT,1988-08-01,2264.9,avg_year,FY1989 (Feb 1988-Jan 1989) NI 838M / EPS 0.37,https://www.sec.gov/Archives/edgar/data/104169/,"WMT 10-K FY1995/FY1996 selected data, restated for all splits through 1996 (basis_date); EPS rounded to cents -> +/-2%",1996-03-31
Wal-Mart,WMT,1989-08-01,2241.7,avg_year,FY1990 (Feb 1989-Jan 1990) NI 1076M / EPS 0.48,https://www.sec.gov/Archives/edgar/data/104169/,"WMT 10-K FY1995/FY1996 selected data, restated for all splits through 1996 (basis_date); EPS rounded to cents -> +/-2%",1996-03-31
Wal-Mart,WMT,1990-08-01,2264.9,avg_year,FY1991 (Feb 1990-Jan 1991) NI 1291M / EPS 0.57,https://www.sec.gov/Archives/edgar/data/104169/,"WMT 10-K FY1995/FY1996 selected data, restated for all splits through 1996 (basis_date); EPS rounded to cents -> +/-2%",1996-03-31
Wal-Mart,WMT,1991-08-01,2298.6,avg_year,FY1992 (Feb 1991-Jan 1992) NI 1609M / EPS 0.7,https://www.sec.gov/Archives/edgar/data/104169/,"WMT 10-K FY1995/FY1996 selected data, restated for all splits through 1996 (basis_date); EPS rounded to cents -> +/-2%",1996-03-31
Wal-Mart,WMT,1992-08-01,2293.1,avg_year,FY1993 (Feb 1992-Jan 1993) NI 1995M / EPS 0.87,https://www.sec.gov/Archives/edgar/data/104169/,"WMT 10-K FY1995/FY1996 selected data, restated for all splits through 1996 (basis_date); EPS rounded to cents -> +/-2%",1996-03-31
Wal-Mart,WMT,1993-08-01,2287.3,avg_year,FY1994 (Feb 1993-Jan 1994) NI 2333M / EPS 1.02,https://www.sec.gov/Archives/edgar/data/104169/,"WMT 10-K FY1995/FY1996 selected data, restated for all splits through 1996 (basis_date); EPS rounded to cents -> +/-2%",1996-03-31
Wal-Mart,WMT,1994-08-01,2291.5,avg_year,FY1995 (Feb 1994-Jan 1995) NI 2681M / EPS 1.17,https://www.sec.gov/Archives/edgar/data/104169/,"WMT 10-K FY1995/FY1996 selected data, restated for all splits through 1996 (basis_date); EPS rounded to cents -> +/-2%",1996-03-31
Wal-Mart,WMT,1995-08-01,2302.5,avg_year,FY1996 (Feb 1995-Jan 1996) NI 2740M / EPS 1.19,https://www.sec.gov/Archives/edgar/data/104169/,"WMT 10-K FY1995/FY1996 selected data, restated for all splits through 1996 (basis_date); EPS rounded to cents -> +/-2%",1996-03-31
Wal-Mart,WMT,1995-03-31,2297.580,point,10-K cover,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000104169&type=10-K&dateb=19970101,,
Wal-Mart,WMT,1996-03-31,2293.548,point,10-K cover,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000104169&type=10-K&dateb=19970101,,
Philip Morris,MO,1991-07-01,925,avg_year,Weighted average shares (millions),https://www.sec.gov/Archives/edgar/data/764180/,MO 10-K FY1995 five-year table,
Philip Morris,MO,1992-07-01,906,avg_year,Weighted average shares (millions),https://www.sec.gov/Archives/edgar/data/764180/,,
Philip Morris,MO,1993-07-01,878,avg_year,Weighted average shares (millions),https://www.sec.gov/Archives/edgar/data/764180/,,
Philip Morris,MO,1994-03-31,871.317,point,10-Q cover,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000764180&type=10-Q&dateb=19970101,,
Philip Morris,MO,1995-03-31,844.823,point,10-Q cover,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000764180&type=10-Q&dateb=19970101,,
Philip Morris,MO,1996-03-31,826.032,point,10-Q cover,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000764180&type=10-Q&dateb=19970101,,
AT&T Corp (post-divestiture),T_CORP,1991-07-01,1293,avg_year,"Average shares outstanding (millions), selected financial data",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000005907&type=10-K&dateb=19970101,AT&T Corp 10-K FY1993,
AT&T Corp (post-divestiture),T_CORP,1992-07-01,1332,avg_year,"Average shares outstanding (millions), selected financial data",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000005907&type=10-K&dateb=19970101,AT&T Corp 10-K FY1993,
AT&T Corp (post-divestiture),T_CORP,1993-07-01,1353,avg_year,"Average shares outstanding (millions), selected financial data",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000005907&type=10-K&dateb=19970101,AT&T Corp 10-K FY1993,
AT&T Corp (post-divestiture),T_CORP,1994-03-01,1356.932,point,10-K cover,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000005907&type=10-K&dateb=19970101,cover also states aggregate market value 71.18B,
AT&T Corp (post-divestiture),T_CORP,1994-06-30,1360.270,point,10-Q cover,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000005907&type=10-Q&dateb=19970101,,
AT&T Corp (post-divestiture),T_CORP,1994-09-30,1563.046,point,10-Q cover,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000005907&type=10-Q&dateb=19970101,after McCaw Cellular acquisition,
AT&T Corp (post-divestiture),T_CORP,1995-03-31,1582.254,point,10-Q cover,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000005907&type=10-Q&dateb=19970101,,
AT&T Corp (post-divestiture),T_CORP,1995-09-30,1591.865,point,10-Q cover,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000005907&type=10-Q&dateb=19970101,,
AT&T Corp (post-divestiture),T_CORP,1996-03-31,1606.891,point,10-Q cover,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000005907&type=10-Q&dateb=19970101,,
Coca-Cola,KO,1994-04-29,1293.363,point,10-Q cover,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000021344&type=10-Q&dateb=19970101,,
Coca-Cola,KO,1995-04-28,1267.499,point,10-Q cover,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000021344&type=10-Q&dateb=19970101,,
Google (Alphabet),GOOGL,2005-03-28,277.349,point,"Class A 114,754,458 + Class B 162,594,769 (10-K/10-Q cover)",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001288776&type=10-Q&dateb=20150101,pre-2014 class-C dividend basis (as traded),
Google (Alphabet),GOOGL,2006-02-28,297.237,point,"Class A 207,095,945 + Class B 90,141,280 (10-K/10-Q cover)",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001288776&type=10-Q&dateb=20150101,pre-2014 class-C dividend basis (as traded),
Google (Alphabet),GOOGL,2007-02-23,310.957,point,"Class A 230,097,376 + Class B 80,859,822 (10-K/10-Q cover)",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001288776&type=10-Q&dateb=20150101,pre-2014 class-C dividend basis (as traded),
Google (Alphabet),GOOGL,2007-10-31,312.840,point,"Class A 235,493,174 + Class B 77,347,311 (10-K/10-Q cover)",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001288776&type=10-Q&dateb=20150101,pre-2014 class-C dividend basis (as traded),
Google (Alphabet),GOOGL,2008-01-31,313.379,point,"Class A 236,750,181 + Class B 76,628,707 (10-K/10-Q cover)",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001288776&type=10-Q&dateb=20150101,pre-2014 class-C dividend basis (as traded),
Google (Alphabet),GOOGL,2008-04-30,314.093,point,"Class A 238,581,338 + Class B 75,511,505 (10-K/10-Q cover)",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001288776&type=10-Q&dateb=20150101,pre-2014 class-C dividend basis (as traded),
Google (Alphabet),GOOGL,2008-07-31,314.446,point,"Class A 239,109,856 + Class B 75,336,583 (10-K/10-Q cover)",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001288776&type=10-Q&dateb=20150101,pre-2014 class-C dividend basis (as traded),
Google (Alphabet),GOOGL,2008-10-31,314.754,point,"Class A 239,534,290 + Class B 75,219,823 (10-K/10-Q cover)",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001288776&type=10-Q&dateb=20150101,pre-2014 class-C dividend basis (as traded),
Google (Alphabet),GOOGL,2009-01-31,315.294,point,"Class A 240,289,354 + Class B 75,004,353 (10-K/10-Q cover)",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001288776&type=10-Q&dateb=20150101,pre-2014 class-C dividend basis (as traded),
Google (Alphabet),GOOGL,2009-04-30,315.939,point,"Class A 241,087,476 + Class B 74,851,783 (10-K/10-Q cover)",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001288776&type=10-Q&dateb=20150101,pre-2014 class-C dividend basis (as traded),
Google (Alphabet),GOOGL,2009-07-31,316.571,point,"Class A 241,971,977 + Class B 74,599,324 (10-K/10-Q cover)",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001288776&type=10-Q&dateb=20150101,pre-2014 class-C dividend basis (as traded),
Google (Alphabet),GOOGL,2009-10-30,317.270,point,"Class A 242,999,389 + Class B 74,270,966 (10-K/10-Q cover)",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001288776&type=10-Q&dateb=20150101,pre-2014 class-C dividend basis (as traded),
Google (Alphabet),GOOGL,2010-01-29,317.979,point,"Class A 243,872,592 + Class B 74,106,699 (10-K/10-Q cover)",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001288776&type=10-Q&dateb=20150101,pre-2014 class-C dividend basis (as traded),
Google (Alphabet),GOOGL,2010-04-30,318.487,point,"Class A 245,600,411 + Class B 72,886,098 (10-K/10-Q cover)",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001288776&type=10-Q&dateb=20150101,pre-2014 class-C dividend basis (as traded),
Google (Alphabet),GOOGL,2010-07-26,318.706,point,"Class A 246,464,004 + Class B 72,242,108 (10-K/10-Q cover)",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001288776&type=10-Q&dateb=20150101,pre-2014 class-C dividend basis (as traded),
Google (Alphabet),GOOGL,2010-10-25,319.775,point,"Class A 248,407,078 + Class B 71,368,036 (10-K/10-Q cover)",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001288776&type=10-Q&dateb=20150101,pre-2014 class-C dividend basis (as traded),
Google (Alphabet),GOOGL,2011-01-31,321.522,point,"Class A 250,869,074 + Class B 70,653,031 (10-K/10-Q cover)",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001288776&type=10-Q&dateb=20150101,pre-2014 class-C dividend basis (as traded),
Google (Alphabet),GOOGL,2011-05-02,322.252,point,"Class A 252,993,468 + Class B 69,258,357 (10-K/10-Q cover)",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001288776&type=10-Q&dateb=20150101,pre-2014 class-C dividend basis (as traded),
Google (Alphabet),GOOGL,2011-07-21,322.888,point,"Class A 254,219,910 + Class B 68,667,853 (10-K/10-Q cover)",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001288776&type=10-Q&dateb=20150101,pre-2014 class-C dividend basis (as traded),
Google (Alphabet),GOOGL,2011-10-20,323.887,point,"Class A 256,000,559 + Class B 67,886,932 (10-K/10-Q cover)",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001288776&type=10-Q&dateb=20150101,pre-2014 class-C dividend basis (as traded),
Google (Alphabet),GOOGL,2012-01-19,325.136,point,"Class A 257,960,636 + Class B 67,175,694 (10-K/10-Q cover)",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001288776&type=10-Q&dateb=20150101,pre-2014 class-C dividend basis (as traded),
Google (Alphabet),GOOGL,2012-04-13,325.940,point,"Class A 259,876,321 + Class B 66,063,917 (10-K/10-Q cover)",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001288776&type=10-Q&dateb=20150101,pre-2014 class-C dividend basis (as traded),
Google (Alphabet),GOOGL,2012-04-19,326.006,point,"Class A 259,960,162 + Class B 66,046,275 (10-K/10-Q cover)",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001288776&type=10-Q&dateb=20150101,pre-2014 class-C dividend basis (as traded),
Google (Alphabet),GOOGL,2012-07-19,327.033,point,"Class A 261,972,044 + Class B 65,061,280 (10-K/10-Q cover)",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001288776&type=10-Q&dateb=20150101,pre-2014 class-C dividend basis (as traded),
Google (Alphabet),GOOGL,2012-10-15,328.594,point,"Class A 264,956,901 + Class B 63,637,291 (10-K/10-Q cover)",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001288776&type=10-Q&dateb=20150101,pre-2014 class-C dividend basis (as traded),
Google (Alphabet),GOOGL,2013-01-23,329.663,point,"Class A 267,500,149 + Class B 62,163,063 (10-K/10-Q cover)",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001288776&type=10-Q&dateb=20150101,pre-2014 class-C dividend basis (as traded),
Google (Alphabet),GOOGL,2013-04-18,331.766,point,"Class A 271,123,286 + Class B 60,642,777 (10-K/10-Q cover)",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001288776&type=10-Q&dateb=20150101,pre-2014 class-C dividend basis (as traded),
